,fartsdempere,trafikk_mengde,fotobokser,vegskulder,svingerestriksjon,vilt_fare,fartsgrense,trafikk_ulykke
0100 Eg18 hp1,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0100 Eg18 hp50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Eg18 hp87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Eg6 hp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0100 Eg6 hp80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Ev18 hp1,0.0,4162.0,0.0,1.0,2.0,0.0,61.111111111111114,27.0
0100 Ev18 hp2,0.0,3377.5,0.0,0.0,2.0,0.0,40.0,27.0
0100 Ev18 hp3,0.0,4352.0,0.0,0.0,2.0,0.0,60.0,23.0
0100 Ev18 hp4,0.0,5353.666666666667,0.0,36.0,3.0,0.0,71.66666666666667,4.0
0100 Ev18 hp5,0.0,5476.5,0.0,0.0,3.0,0.0,83.33333333333333,36.0
0100 Ev18 hp50,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
0100 Ev18 hp6,0.0,7981.5,0.0,0.0,5.0,0.0,0.0,31.0
0100 Ev18 hp7,0.0,0.0,0.0,0.0,4.0,0.0,71.42857142857143,9.0
0100 Ev18 hp70,0.0,0.0,0.0,0.0,2.0,0.0,60.0,6.0
0100 Ev18 hp71,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667,0.0
0100 Ev18 hp72,0.0,0.0,0.0,0.0,0.0,0.0,53.333333333333336,0.0
0100 Ev18 hp73,0.0,0.0,0.0,0.0,0.0,0.0,53.333333333333336,0.0
0100 Ev18 hp810,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0100 Ev18 hp815,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
0100 Ev18 hp82,0.0,0.0,0.0,9.0,2.0,0.0,72.0,0.0
0100 Ev18 hp821,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0
0100 Ev18 hp826,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
0100 Ev18 hp83,0.0,0.0,0.0,21.0,1.0,0.0,68.0,0.0
0100 Ev18 hp84,0.0,125.6,0.0,0.0,2.0,0.0,53.333333333333336,0.0
0100 Ev18 hp85,0.0,171.5,0.0,0.0,2.0,0.0,64.0,0.0
0100 Ev18 hp87,0.0,438.8,0.0,0.0,1.0,0.0,66.66666666666667,1.0
0100 Ev18 hp88,0.0,989.6,0.0,0.0,2.0,0.0,74.28571428571429,1.0
0100 Ev18 hp90,0.0,1353.6,0.0,0.0,2.0,0.0,88.88888888888889,1.0
0100 Ev18 hp900,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0100 Ev18 hp91,0.0,865.8,0.0,0.0,2.0,0.0,80.0,0.0
0100 Ev18 hp92,0.0,0.0,0.0,0.0,2.0,0.0,80.0,0.0
0100 Ev18 hp93,0.0,0.0,0.0,0.0,2.0,0.0,80.0,0.0
0100 Ev6 hp1,0.0,15212.5,0.0,0.0,7.0,0.0,85.0,98.0
0100 Ev6 hp2,0.0,12734.0,0.0,0.0,0.0,0.0,82.5,31.0
0100 Ev6 hp3,0.0,21700.0,0.0,0.0,0.0,0.0,99.16666666666667,76.0
0100 Ev6 hp4,0.0,15977.0,0.0,0.0,0.0,0.0,83.33333333333333,56.0
0100 Ev6 hp406,0.0,2071.5,0.0,0.0,0.0,0.0,25.0,11.0
0100 Ev6 hp407,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0
0100 Ev6 hp5,0.0,23881.75,0.0,0.0,1.0,0.0,85.71428571428571,80.0
0100 Ev6 hp52,0.0,2349.3333333333335,0.0,0.0,0.0,0.0,46.0,3.0
0100 Ev6 hp6,0.0,21794.666666666668,0.0,0.0,0.0,0.0,94.0,611.0
0100 Ev6 hp7,0.0,19310.0,0.0,0.0,0.0,0.0,73.33333333333333,449.0
0100 Ev6 hp70,1.0,358.6,0.0,0.0,2.0,0.0,70.0,0.0
0100 Ev6 hp71,0.0,2825.6,0.0,0.0,1.0,0.0,92.5,6.0
0100 Ev6 hp77,0.0,393.4,0.0,0.0,2.0,0.0,70.0,2.0
0100 Ev6 hp78,0.0,1863.2,0.0,0.0,2.0,0.0,88.0,1.0
